Image,Title,Body Copy,TBL Studio Link,Editorial Feedback,Published tags,Writer,Auto-Extracted Concepts,Suggested Revision Front End Tags,Suggested Revision Back End Tags,Other related tags,Other Notes,url_slug,Image Location,TBL Image S3 Location
,Four-Tier Fondant Snowflake Wedding Cake,"Erica and Janson left no detail unnoticed, including their four-tier confection after dinner. Decorated with expertly executed fondant snowflakes, the cake fell right in line with the couple’s whimsical winter theme. And beneath the layers of snowy white fondant lay an unexpected twist. “Our cake was a special request of Janson’s and was made from doughnuts, which are his favorite,” Erica says.",http://twobrightlights.com/publication_studio/pubstudioshell/stud:NDg0MTE2,"The backdrop makes this cake rustic, but ultimately it's a winter wedding cake that could be in a glam, romantic, classic, or eclectic setting too","2: snow, wedding cakes",Libby MacCarthy,"""additional_terms"" : [
		""bride"",
		""ivory"",
		""brown"",
		""buttercream"",
		""desserts"",
		""guests"",
		""reception"",
		""romantic"",
		""tables"",
		""winter"",
		""wedding""
	],
	""concepts"" : [
		""fondant"",
		""donuts"",
		""whimsical"",
		""white"",
		""wedding cakes"",
	]","wedding cakes, round cakes, white, whimsical, snow, fondant, tiered cakes, winter","rustic, wood, candles, roses, ",,,https://www.theknot.com/real-weddings/four-tier-fondant-snowflake-wedding-cake-photo,https://apis.xogrp.com/media-api/images/0b840d3e-af25-11e5-be52-22000aa61a3e~rs_729.h,
,Custom-Made Flower Topper,"A white fondant four-tier cake made by Ambrosia Cake Creations was decorated with a custom-made flower, with each petal’s edges painted black and gold.",http://twobrightlights.com/publication_studio/pubstudioshell/stud:NTA0ODA0,"I wouldn't state this belongs primarily to one of our 7 styles, but would say eclectic if it had to belong to one of the 7. It's also parts eco, boho, modern, rustic, greenery",2:  Wedding Cakes   Cake Flowers,Marissa Hermanson,"""additional_terms"" : [
		""flower"",
		""decorated"",
		""painted"",
		""topper""
	],
	""concepts"" : [
		""fondant"",
		""black"",
		""gold"",
		""white""
	]
","wedding cakes, round cakes, white, green,  garland, eclectic, tiered cakes, cake display","cake applique, emerald green, greenery, wood, modern, glamorous, black, gold, alternative, bohemian, whimsical, farm + ranch, trees ",,,https://www.theknot.com/real-weddings/custom-made-flower-topper-photo,https://apis.xogrp.com/media-api/images/a658c7a8-9e02-11e4-843f-22000aa61a3e~rs_729.h,
,Whimsical Naked Cake,"In honor of their shared love of the TV show “Parks & Recreation,” the couple chose a ""Treat Yo’self"" cake topper from Letters to You. “I knew I wanted a seminaked cake as soon as I heard about them, and it looked stunning adorned with the rich, big blooms,” Lindsay says. “We didn’t even have extra to save for our anniversary, so I’ll definitely be ordering a duplicate of our almond cake from Frost It Cakery.”",http://twobrightlights.com/publication_studio/pubstudioshell/stud:NTAzNzkw,"Eclectic + Rustic + Romantic: the cake topper gives a personalized sense of humor, and the flowers add extra preppy touches. This could easily be from a garden, estate, backyard, vineyard, ranch  (etc) wedding. Possibly one to categorize as semi-formal or casual. Naked cakes are inheritenly rustic as well.",5: Fuchsia   Wedding Cakes   Bohemian   Rustic  Cake Flowers,Libby MacCarthy,"	""additional_terms"" : [
		""anniversary"",
		""cake topper"",
		""honor"",
		""shared""
	],
	""concepts"" : [
		""cake toppers"",
		""naked cakes"",
		""whimsical"",
		""park""
	]
","wedding cakes, round cakes, naked + transulcent cakes, cake flowers, cake toppers, whimsical, tiered cakes","casual, dahlias, ranunculus, greenery, romantic, eclectic, bohemian, garden, fern, fucshia, jewel tones, candles, cake stand, white, rustic, humorous, personalized, cake topper",,,https://www.theknot.com/real-weddings/whimsical-naked-cake-photo,https://apis.xogrp.com/media-api/images/c9e15cef-ed81-11e6-b589-12072ec58d1a~rs_729.h,
,Simple White Wedding Cake With Orange and Red Flowers,"Karin and Ben's wedding cake from Crisp Bake Shop in Sonoma, California, was adorned with orange and red rose blossoms, echoing the day's vivid palette. ""Practice cutting cakes together,"" Karin says. ""Nobody tells you that cutting a cake, two people as one, is actually quite challenging. Seriously, practice.""",http://twobrightlights.com/publication_studio/pubstudioshell/stud:NDg4MzIx,"missing rustic, simple",4:  Orange   Red   Wedding Cakes   Cake Flowers,Carolyn Meers,"	""additional_terms"" : [
		""day's"",
		""palette"",
		""cake"",
		""people"",
		""blossoms"",
		""california"",
		""adorned""
	],
	""concepts"" : [
		""orange"",
		""wedding cakes"",
		""simple"",
		""red"",
		""wedding"",
		""white"",
		""roses""
	]
","simple, wedding cakes, round cakes, white, earth tones, rustic, cake stand ","affordable, casual, fruit, wood, ferns, brights, orange, red, green, eucalyptus, tiered cakes, fondant",,,https://www.theknot.com/real-weddings/simple-white-wedding-cake-with-orange-and-red-flowers-photo?page=1,https://apis.xogrp.com/media-api/images/fd1346bc-b511-11e6-b1e3-0e6345a2d5d3~rs_729.h,
,Simple Wedding Cake and Dessert Table,Paso Robles' Paper Cake Events created the couple's simple two-tier rough-frosted wedding cake and topped it with crimson blossoms. The cake was accompanied by a tableful of other desserts.,http://twobrightlights.com/publication_studio/pubstudioshell/stud:NDc5NDE3,"Cake is very boho, especially with the cake stand, set up of other flowers around it",5:  Burgundy   Desserts   Wedding Cakes   Bohemian  Cake Flowers,Carolyn Meers," 
	""additional_terms"" : [
		""events"",
		""created"",
		""couple's"",
		""cake"",
		""topped"",
		""paper""
	],
	""concepts"" : [
		""desserts"",
		""wedding cakes"",
		""simple"",
		""wedding"",
		""tables""
	]
","bohemian, wedding cakes, cakes + desserts, cake stand, jewel tones, cake flowers, cake stand, geometric","naked + translucent cakes, dahlia, garden rose, roses, Love-Lies-Bleeding, cookies, cupcakes, macaroons, burgandy, red, plum, gold,  round cakes, tiered cakes, ranauculous, vases, wood, rustic",,,https://www.theknot.com/real-weddings/simple-wedding-cake-and-dessert-table-photo,https://apis.xogrp.com/media-api/images/65a277f8-8943-11e6-b1e3-0e6345a2d5d3~rs_729.h,
,Five-Tier White Wedding Cake,The five-tier wedding cake tied in the white and green colors with a modern design.,http://twobrightlights.com/publication_studio/pubstudioshell/stud:NDU5NzI2,style is definitely modern; secondary could be boho or glam, 5: Green   White   Cakes + Desserts   Wedding Cakes  Modern,Samantha Meux,"""additional_terms"" : [
		""wedding cake"",
		""tied"",
		""colors""
	],
	""concepts"" : [
		""wedding cakes"",
		""white"",
		""green"",
		""greens"",
		""color"",
		""wedding"",
		""modern""
	]
","modern, wedding cake, geometric, sage, tiered cake","formal, wood, greens, round cakes, fondant, applique, bohemian, ",,,https://www.theknot.com/real-weddings/five-tier-white-wedding-cake-photo-4,https://apis.xogrp.com/media-api/images/5bd17029-3956-11e6-af22-0e6345a2d5d3~rs_729.h,
,Untraditional Wedding Cake,"Nicole designs cakes for friends and family as a hobby, so she designed the wedding cake of the couple's dreams. ""I wanted to have a 'piece' of our life from every chapter—where we met, the vacations we took, our weekly trivia night and what I envision the future to look like,"" Nicole says. ""Each tier of the cake represents a time period: past [bottom tier], present [middle] and future [top].""",http://twobrightlights.com/publication_studio/pubstudioshell/stud:NDUyODk4,This is as whismical as it gets and should be tagged primarily to that. ,1:  Cakes + Desserts,Ginger Harris,"""additional_terms"" : [
		""wedding cake"",
		""cake"",
		""tier"",
		""nicole"",
		""future"",
		""designs"",
		""represents"",
		""top"",
		""couple's"",
		""piece""
	],
	""concepts"" : [
		""wedding cakes"",
		""wedding"",
		""friends + family""
	]
","whimsical, wedding cake, monogram, bicycles, colorful","casual, purple, hydrangea, bohemian, eclectic, fondant, personalized, round cakes, tiered, purple, chandelier, eclectic, cake topper",,,https://www.theknot.com/real-weddings/untraditional-wedding-cake-photo,https://apis.xogrp.com/media-api/images/6deb65ce-1d2f-11e6-af22-0e6345a2d5d3~rs_729.h,
,"Rustic, Elegant Wedding Cake With Greenery","Local baker Edith Meyer crafted a three-tier, horizontally rough-frosted cake with layers of bittersweet chocolate with strawberry buttercream. The base of each tier was encircled with fresh olive branches, with a large gold marzipan succulent offset on the center tier.",http://twobrightlights.com/publication_studio/pubstudioshell/stud:NDU3NTMx,tagged very well,9:  Elegant   Wedding Cakes   Rustic   Mountain   Greens  Succulents   Buttercream   Cake Flowers   Tiered Cakes,," all-white (27)   arrangement (6)   arrangements of hydrangea (17)   bloom (16) Bouquets,   cake (4) Candles Centerpieces   cover (21) Decorations + Accents Glassware   hydrangea (1) Ivory Linens   matt's (31)   orchid (100)   orchids serve (21) Pedestals Pink Purple   serve (1) Tables Vases White   white hydrangea (24)   whitney (32)                 	""additional_terms"" : [
		""succulent"",
		""fresh"",
		""tier"",
		""base"",
		""cake"",
		""large"",
		""center"",
		""strawberry""
	],
	""concepts"" : [
		""succulents"",
		""brown"",
		""leaves"",
		""buttercream"",
		""local"",
		""wedding cakes"",
		""gold"",
		""elegant"",
		""rustic"",
		""wedding"",
		""branches""
	]
","wedding cake, round, garland, succulent, rustic, cake flowers, buttercream","tiered cakes, wood, bohemian, greens, white",,,https://www.theknot.com/real-weddings/rustic-elegant-wedding-cake-with-greenery-photo,https://apis.xogrp.com/media-api/images/b3cb670c-2eb2-11e6-af22-0e6345a2d5d3~rs_729.h,
,Six-Tier Custom Black-and-White Wedding Cake,Shane kept his secret cake creation a surprise until the wedding. He let Michael pick the flavors: black velvet cake and yellow butter cake filled with cream cheese frosting. Each tier featured a different design like pinstripes and silver piping.,http://twobrightlights.com/publication_studio/pubstudioshell/stud:NDIyOTc1,Missing glam as the main style to this cake style,7: Black and White   Stripes   Black   Wedding Cakes  Fondant   Round Cakes   Tiered Cakes,,"""additional_terms"" : [
		""custom"",
		""pick"",
		""surprise"",
		""design"",
		""michael"",
		""shane""
	],
	""concepts"" : [
		""piping"",
		""wedding"",
		""silver"",
		""yellow"",
		""wedding cakes"",
		""black""
	]
","glamorous, wedding cake, black and white, tiered cake","round cakes, luxury, metallics, black, filigree, silver, stripes,  fondant, cake stand, geometric, mirrored",,,https://www.theknot.com/real-weddings/six-tier-custom-black-and-white-wedding-cake-photo,https://apis.xogrp.com/media-api/images/fed19fd0-b3fb-11e5-be52-22000aa61a3e~rs_729.h,
,Elegant White Tiered Cake,"The couple’s four-tier white cake, embellished with delicate white blooms, was filled with white chocolate cake and hazelnut mousse.",http://twobrightlights.com/publication_studio/pubstudioshell/stud:NDQwMjI3,"style veers in a few directions: modern, romantic; secondary: whimsical and eclectic",1:  Wedding Cakes,Marissa Hermanson,"""additional_terms"" : [
		""filled""
	],
	""concepts"" : [
		""tiered cakes"",
		""delicate"",
		""elegant"",
		""white"",
		""brown""
	]
","white, tiered cakes, cake flowers, cake applique, modern ","fondant, round cakes, romantic, whimsical, cake stand",,,https://www.theknot.com/real-weddings/elegant-white-tiered-cake-photo,https://apis.xogrp.com/media-api/images/16833806-ead8-11e5-af58-22000aa61a3e~rs_729.h,
,Classic White Wedding Cake,"It took the catering company two tries to nail Caroline's aunt's wedding cake recipe. But in the end, the five-tier all-white confection tasted just like home. Delicate sugar flowers and fondant beading finished the look.",http://twobrightlights.com/publication_studio/pubstudioshell/stud:MzUwNTcx,Missing classic as main style category,7: Elegant   Formal   White   Wedding Cakes   Fondant  Round Cakes   Tiered Cakes,Meghan Overdeep,"""additional_terms"" : [
		""wedding cake"",
		""beading"",
		""finished"",
		""end""
	],
	""concepts"" : [
		""wedding cakes"",
		""delicate"",
		""fondant"",
		""food + catering"",
		""nails"",
		""wedding"",
		""classic"",
		""white""
	]
","wedding cakes, elegant, classic, white, glamorous, cake flowers, piping, greens","tiered cakes, round cakes, cake applique, modern, eucatalyptus, fondant",,,https://www.theknot.com/real-weddings/classic-white-wedding-cake-photo-11,https://apis.xogrp.com/media-api/images/26118c2a-dd3a-11e4-be0a-22000aa61a3e~rs_729.h,
,Gold and Blush Tiered Fondant Wedding Cake,Even the cake shimmered! A single gilded layer gave the three-tier confection just the right amount of panache.,http://twobrightlights.com/publication_studio/pubstudioshell/stud:NDEyMjg5,Glam + Romantic would be top style tags for this cake,11: Elegant   Gold   Pink   Blush   Wedding Cakes  Glamorous   Romantic   Cake Flowers   Fondant  Round Cakes   Tiered Cakes,Rachel Sylvester,"	""additional_terms"" : [
		""cake"",
		""wedding cake"",
		""tiered"",
		""gave"",
		""single""
	],
	""concepts"" : [
		""fondant"",
		""blush"",
		""wedding cakes"",
		""gold"",
		""wedding""
	]
","romantic, glamorous, blush, gold, cake stand, cake flowers, wedding cake","pink, metallics, tiered cakes, round cakes, peonies, rananuclous, sweetpeas, preppy, modern, fontant",,,https://www.theknot.com/real-weddings/gold-and-blush-tiered-fondant-wedding-cake-photo,https://apis.xogrp.com/media-api/images/770cc17e-8980-11e5-9816-22000aa61a3e~rs_729.h,
